Strain,Stability_Score,Status
A jandaei FDAARGOS 986,0.2532,Unstable (Red)
A sobria CIP 74 33,0.8295,Unstable (Red)
A australiensis CECT 8023,0.8523,Stable (Blue)
A veronii CECT 4486,0.8146,Unstable (Red)
A enteropelogenes FDAARGOS 1509,0.6314,Unstable (Red)
A dhakensis CIP 107500,0.8395,Unstable (Red)
A hydrophila sub hydrophila ATCC 7966 ATCC 7966,0.8508,Stable (Blue)
A oralensis AB005,0.8507,Stable (Blue)
A rivuli DSM 22539,0.9064,Stable (Blue)
A diversa CDC 2478 85,0.7843,Unstable (Red)
A schubertii CECT 4240,0.7849,Unstable (Red)
A caviae NCTC12244,0.9485,Stable (Blue)
A taiwanensis LMG 24683,0.9505,Stable (Blue)
A media CCM 3653 GCF 042647745 1,0.9652,Stable (Blue)
A rivipollensis DSM 24593,0.957,Stable (Blue)
A ichthyocola A 5,0.9637,Stable (Blue)
A mytilicola sub aquatica A 8,0.9633,Stable (Blue)
A encheleia NCTC12917,0.9605,Stable (Blue)
A eucrenophila CCUG 30340,0.9675,Stable (Blue)
A lusitana MDC 2473,0.9656,Stable (Blue)
A bestiarum CCUG 41859,0.8777,Stable (Blue)
A salmonicida NCIMB1102,0.8896,Stable (Blue)
