"Strain","Stability_Score","Status"
"A jandaei FDAARGOS 986",0.8535,"Stable (Blue)"
"A sobria CIP 74 33",0.9313,"Stable (Blue)"
"A australiensis CECT 8023",0.9048,"Stable (Blue)"
"A veronii CECT 4486",0.9136,"Stable (Blue)"
"A enteropelogenes FDAARGOS 1509",0.9074,"Stable (Blue)"
"A dhakensis CIP 107500",0.7732,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966 ATCC 7966",0.7988,"Unstable (Red)"
"A oralensis AB005",0.7894,"Unstable (Red)"
"A rivuli DSM 22539",0.834,"Unstable (Red)"
"A diversa CDC 2478 85",0.9207,"Stable (Blue)"
"A schubertii CECT 4240",0.9214,"Stable (Blue)"
"A caviae NCTC12244",0.7786,"Unstable (Red)"
"A taiwanensis LMG 24683",0.7733,"Unstable (Red)"
"A media CCM 3653 GCF 042647745 1",0.8734,"Stable (Blue)"
"A rivipollensis DSM 24593",0.8896,"Stable (Blue)"
"A ichthyocola A 5",0.8901,"Stable (Blue)"
"A mytilicola sub aquatica A 8",0.8907,"Stable (Blue)"
"A encheleia NCTC12917",0.8583,"Stable (Blue)"
"A eucrenophila CCUG 30340",0.8723,"Stable (Blue)"
"A lusitana MDC 2473",0.873,"Stable (Blue)"
"A bestiarum CCUG 41859",0.8865,"Stable (Blue)"
"A salmonicida NCIMB1102",0.9171,"Stable (Blue)"
