"Strain","Stability_Score","Status"
"A jandaei FDAARGOS 986",0.801,"Unstable (Red)"
"A sobria CIP 74 33",0.5431,"Unstable (Red)"
"A australiensis CECT 8023",0.8049,"Unstable (Red)"
"A veronii CECT 4486",0.7766,"Unstable (Red)"
"A enteropelogenes FDAARGOS 1509",0.8011,"Unstable (Red)"
"A dhakensis CIP 107500",0.8311,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966 ATCC 7966",0.8276,"Unstable (Red)"
"A oralensis AB005",0.8242,"Unstable (Red)"
"A rivuli DSM 22539",0.8767,"Stable (Blue)"
"A diversa CDC 2478 85",0.9388,"Stable (Blue)"
"A schubertii CECT 4240",0.9315,"Stable (Blue)"
"A caviae NCTC12244",0.7058,"Unstable (Red)"
"A taiwanensis LMG 24683",0.7054,"Unstable (Red)"
"A media CCM 3653 GCF 042647745 1",0.8933,"Stable (Blue)"
"A rivipollensis DSM 24593",0.904,"Stable (Blue)"
"A ichthyocola A 5",0.9041,"Stable (Blue)"
"A mytilicola sub aquatica A 8",0.9067,"Stable (Blue)"
"A encheleia NCTC12917",0.8634,"Stable (Blue)"
"A eucrenophila CCUG 30340",0.8616,"Stable (Blue)"
"A lusitana MDC 2473",0.864,"Stable (Blue)"
"A bestiarum CCUG 41859",0.7718,"Unstable (Red)"
"A salmonicida NCIMB1102",0.8053,"Unstable (Red)"
