"Strain","Stability_Score","Status"
"A jandaei FDAARGOS 986",0.475,"Unstable (Red)"
"A sobria CIP 74 33",0.2773,"Unstable (Red)"
"A australiensis CECT 8023",0.5289,"Unstable (Red)"
"A veronii CECT 4486",0.4664,"Unstable (Red)"
"A enteropelogenes FDAARGOS 1509",0.1429,"Unstable (Red)"
"A dhakensis CIP 107500",0.3658,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966 ATCC 7966",0.4721,"Unstable (Red)"
"A oralensis AB005",0.4538,"Unstable (Red)"
"A rivuli DSM 22539",0.7517,"Unstable (Red)"
"A diversa CDC 2478 85",0.7818,"Unstable (Red)"
"A schubertii CECT 4240",0.8022,"Unstable (Red)"
"A caviae NCTC12244",0.4512,"Unstable (Red)"
"A taiwanensis LMG 24683",0.4455,"Unstable (Red)"
"A media CCM 3653 GCF 042647745 1",0.7402,"Unstable (Red)"
"A rivipollensis DSM 24593",0.7713,"Unstable (Red)"
"A ichthyocola A 5",0.7749,"Unstable (Red)"
"A mytilicola sub aquatica A 8",0.7758,"Unstable (Red)"
"A encheleia NCTC12917",0.5132,"Unstable (Red)"
"A eucrenophila CCUG 30340",0.5674,"Unstable (Red)"
"A lusitana MDC 2473",0.6925,"Unstable (Red)"
"A bestiarum CCUG 41859",0.4463,"Unstable (Red)"
"A salmonicida NCIMB1102",0.5185,"Unstable (Red)"
