"Strain","Stability_Score","Status"
"A jandaei FDAARGOS 986",0.8805,"Stable (Blue)"
"A sobria CIP 74 33",0.9228,"Stable (Blue)"
"A australiensis CECT 8023",0.9328,"Stable (Blue)"
"A veronii CECT 4486",0.9129,"Stable (Blue)"
"A enteropelogenes FDAARGOS 1509",0.9043,"Stable (Blue)"
"A dhakensis CIP 107500",0.8242,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966 ATCC 7966",0.8326,"Unstable (Red)"
"A oralensis AB005",0.8302,"Unstable (Red)"
"A rivuli DSM 22539",0.8775,"Stable (Blue)"
"A diversa CDC 2478 85",0.9454,"Stable (Blue)"
"A schubertii CECT 4240",0.9413,"Stable (Blue)"
"A caviae NCTC12244",0.8579,"Stable (Blue)"
"A taiwanensis LMG 24683",0.8606,"Stable (Blue)"
"A media CCM 3653 GCF 042647745 1",0.8911,"Stable (Blue)"
"A rivipollensis DSM 24593",0.9118,"Stable (Blue)"
"A ichthyocola A 5",0.9109,"Stable (Blue)"
"A mytilicola sub aquatica A 8",0.9121,"Stable (Blue)"
"A encheleia NCTC12917",0.8934,"Stable (Blue)"
"A eucrenophila CCUG 30340",0.9034,"Stable (Blue)"
"A lusitana MDC 2473",0.9053,"Stable (Blue)"
"A bestiarum CCUG 41859",0.7943,"Unstable (Red)"
"A salmonicida NCIMB1102",0.8399,"Unstable (Red)"
