"Strain","Stability_Score","Status"
"A jandaei FDAARGOS 986",0.8997,"Stable (Blue)"
"A sobria CIP 74 33",0.7732,"Unstable (Red)"
"A australiensis CECT 8023",0.8866,"Stable (Blue)"
"A veronii CECT 4486",0.876,"Stable (Blue)"
"A enteropelogenes FDAARGOS 1509",0.8936,"Stable (Blue)"
"A dhakensis CIP 107500",0.8276,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966 ATCC 7966",0.8748,"Stable (Blue)"
"A oralensis AB005",0.87,"Stable (Blue)"
"A rivuli DSM 22539",0.8257,"Unstable (Red)"
"A diversa CDC 2478 85",0.9079,"Stable (Blue)"
"A schubertii CECT 4240",0.9025,"Stable (Blue)"
"A caviae NCTC12244",0.6922,"Unstable (Red)"
"A taiwanensis LMG 24683",0.6887,"Unstable (Red)"
"A media CCM 3653 GCF 042647745 1",0.782,"Unstable (Red)"
"A rivipollensis DSM 24593",0.805,"Unstable (Red)"
"A ichthyocola A 5",0.8053,"Unstable (Red)"
"A mytilicola sub aquatica A 8",0.8089,"Unstable (Red)"
"A encheleia NCTC12917",0.6684,"Unstable (Red)"
"A eucrenophila CCUG 30340",0.6918,"Unstable (Red)"
"A lusitana MDC 2473",0.7013,"Unstable (Red)"
"A bestiarum CCUG 41859",0.8147,"Unstable (Red)"
"A salmonicida NCIMB1102",0.8429,"Unstable (Red)"
