"Strain","Stability_Score","Status"
"A dhakensis CIP 107500",0.6922,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966",0.7003,"Unstable (Red)"
"A oralensis AB005",0.7011,"Unstable (Red)"
"A bestiarum CCUG 41859",0.734,"Unstable (Red)"
"A salmonicida NCIMB1102",0.729,"Unstable (Red)"
"A enteropelogenes FDAARGOS 1509",0.716,"Unstable (Red)"
"A jandaei FDAARGOS 986",0.7029,"Unstable (Red)"
"A sobria CIP 74 33",0.8091,"Unstable (Red)"
"A australiensis CECT 8023",0.7113,"Unstable (Red)"
"A veronii CECT 4486",0.712,"Unstable (Red)"
"A rivuli DSM 22539",0.8769,"Stable (Blue)"
"A diversa CDC 2478 85",0.8907,"Stable (Blue)"
"A schubertii CECT 4240",0.8943,"Stable (Blue)"
"A caviae NCTC12244",0.7994,"Unstable (Red)"
"A taiwanensis LMG 24683",0.7963,"Unstable (Red)"
"A media CCM 3653 GCF 042647745 1",0.8362,"Unstable (Red)"
"A rivipollensis DSM 24593",0.8377,"Unstable (Red)"
"A ichthyocola A 5",0.8379,"Unstable (Red)"
"A mytilicola sub aquatica A 8",0.837,"Unstable (Red)"
"A encheleia NCTC12917",0.7515,"Unstable (Red)"
"A eucrenophila CCUG 30340",0.7907,"Unstable (Red)"
"A lusitana MDC 2473",0.7797,"Unstable (Red)"
