"Strain","Stability_Score","Status"
"A media CCM 3653 GCF 042647745 1",0.9343,"Stable (Blue)"
"A rivipollensis DSM 24593",0.9433,"Stable (Blue)"
"A mytilicola sub aquatica A 8",0.9413,"Stable (Blue)"
"A ichthyocola A 5",0.9412,"Stable (Blue)"
"A bestiarum CCUG 41859",0.7312,"Unstable (Red)"
"A salmonicida NCIMB1102",0.7724,"Unstable (Red)"
"A lusitana MDC 2473",0.9046,"Stable (Blue)"
"A eucrenophila CCUG 30340",0.9058,"Stable (Blue)"
"A encheleia NCTC12917",0.8789,"Stable (Blue)"
"A rivuli DSM 22539",0.8507,"Stable (Blue)"
"A taiwanensis LMG 24683",0.8722,"Stable (Blue)"
"A caviae NCTC12244",0.8748,"Stable (Blue)"
"A enteropelogenes FDAARGOS 1509",0.6254,"Unstable (Red)"
"A diversa CDC 2478 85",0.8633,"Stable (Blue)"
"A schubertii CECT 4240",0.8611,"Stable (Blue)"
"A dhakensis CIP 107500",0.8087,"Unstable (Red)"
"A oralensis AB005",0.812,"Unstable (Red)"
"A hydrophila sub hydrophila ATCC 7966",0.8176,"Unstable (Red)"
"A jandaei FDAARGOS 986",0.8323,"Unstable (Red)"
"A sobria CIP 74 33",0.847,"Unstable (Red)"
"A australiensis CECT 8023",0.8665,"Stable (Blue)"
"A veronii CECT 4486",0.8384,"Unstable (Red)"
