"Strain","Stability_Score","Status"
"A dhakensis CIP 107500",0.8729,"Stable (Blue)"
"A hydrophila sub hydrophila ATCC 7966",0.8773,"Stable (Blue)"
"A oralensis AB005",0.8801,"Stable (Blue)"
"A bestiarum CCUG 41859",0.9024,"Stable (Blue)"
"A salmonicida NCIMB1102",0.8889,"Stable (Blue)"
"A enteropelogenes FDAARGOS 1509",0.9082,"Stable (Blue)"
"A jandaei FDAARGOS 986",0.852,"Stable (Blue)"
"A sobria CIP 74 33",0.9153,"Stable (Blue)"
"A australiensis CECT 8023",0.8518,"Stable (Blue)"
"A veronii CECT 4486",0.8556,"Stable (Blue)"
"A rivuli DSM 22539",0.8563,"Stable (Blue)"
"A diversa CDC 2478 85",0.8767,"Stable (Blue)"
"A schubertii CECT 4240",0.8694,"Stable (Blue)"
"A caviae NCTC12244",0.9076,"Stable (Blue)"
"A taiwanensis LMG 24683",0.9075,"Stable (Blue)"
"A media CCM 3653 GCF 042647745 1",0.9192,"Stable (Blue)"
"A rivipollensis DSM 24593",0.9168,"Stable (Blue)"
"A ichthyocola A 5",0.9197,"Stable (Blue)"
"A mytilicola sub aquatica A 8",0.9192,"Stable (Blue)"
"A encheleia NCTC12917",0.9153,"Stable (Blue)"
"A eucrenophila CCUG 30340",0.9176,"Stable (Blue)"
"A lusitana MDC 2473",0.9151,"Stable (Blue)"
